Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
48108,5540740,76,19,single,norent_noown,no,Petroleum_Engineer,Bhatpara,West_Bengal,7,12,0
64516,5460816,40,16,single,rented,yes,Firefighter,Bathinda,Punjab,13,11,0
49114,9908353,68,3,single,rented,yes,Librarian,Sikar,Rajasthan,3,13,0
181722,7816158,44,8,single,rented,no,Design_Engineer,Nashik,Maharashtra,8,13,1
120568,191452,53,1,single,owned,yes,Software_Developer,Tinsukia,Assam,1,12,0
84030,6126820,49,15,single,rented,yes,Statistician,Chennai,Tamil_Nadu,3,12,0
41523,9025787,27,9,single,rented,no,Firefighter,Farrukhabad,Uttar_Pradesh,3,14,0
157929,2926190,71,0,single,rented,no,Physician,Bally,West_Bengal,0,14,1
4699,7256900,55,9,single,rented,no,Hotel_Manager,Indore,Madhya_Pradesh,4,14,1
242658,9117349,71,1,single,rented,no,Civil_engineer,Chennai,Tamil_Nadu,1,11,1
20593,6987406,27,10,single,rented,no,Scientist,Agra,Uttar_Pradesh,8,11,1
146642,5357215,52,8,single,rented,yes,Librarian,Darbhanga,Bihar,8,11,0
30079,5910401,68,14,single,rented,yes,Chef,Panihati,West_Bengal,14,10,0
247698,2624147,53,6,single,rented,no,Police_officer,Tiruppur,Tamil_Nadu,6,12,1
129811,6305461,41,11,single,rented,yes,Air_traffic_controller,Mirzapur,Uttar_Pradesh,7,14,0
179618,2803101,25,10,single,rented,no,Physician,Sikar,Rajasthan,10,14,1
168807,9812254,35,15,single,norent_noown,no,Magistrate,Jorhat,Assam,8,11,0
219053,989264,46,10,single,rented,no,Software_Developer,Miryalaguda,Telangana,10,11,0
115024,6212340,56,11,single,rented,no,Drafter,Buxar[37],Bihar,11,12,0
241015,9225199,45,7,single,rented,no,Surgeon,Malegaon,Maharashtra,7,14,1
43040,133768,50,20,single,rented,no,Lawyer,Chandrapur,Maharashtra,10,12,1
242735,7810824,50,6,single,rented,no,Technology_specialist,Rohtak,Haryana,6,12,1
49059,1139981,60,12,single,rented,no,Civil_engineer,Ambattur,Tamil_Nadu,12,12,1
199600,8420858,55,14,single,rented,no,Technology_specialist,Bhagalpur,Bihar,7,13,0
219316,5186564,55,19,single,rented,yes,Surveyor,Narasaraopet,Andhra_Pradesh,12,11,1
221461,4261107,53,3,single,rented,no,Dentist,Vadodara,Gujarat,3,14,1
129496,9345456,35,12,married,rented,yes,Civil_servant,Pallavaram,Tamil_Nadu,7,10,0
190491,5840140,55,0,single,rented,no,Mechanical_engineer,Nangloi_Jat,Delhi,0,10,0
1680,7571977,75,5,single,rented,yes,Civil_servant,Ranchi,Jharkhand,5,13,1
228812,3788836,49,12,single,rented,no,Web_designer,Bihar_Sharif,Bihar,12,14,0
71849,9717828,22,13,single,rented,yes,Air_traffic_controller,Delhi_city,Delhi,10,14,1
67215,4507766,48,4,single,rented,no,Financial_Analyst,Hapur,Uttar_Pradesh,3,12,0
231766,2861024,36,2,single,rented,no,Fashion_Designer,Saharsa[29],Bihar,2,14,1
100570,7781258,72,9,single,rented,no,Army_officer,South_Dumdum,West_Bengal,9,11,0
24072,1073866,79,4,single,rented,no,Chef,Bhopal,Madhya_Pradesh,3,11,0
122546,1255635,68,10,single,rented,no,Civil_engineer,Raurkela_Industrial_Township,Odisha,10,14,0
77688,6524945,45,8,single,rented,no,Engineer,Kollam,Kerala,8,14,0
16817,4206929,73,8,single,rented,no,Technical_writer,Hosur,Tamil_Nadu,8,11,1
204425,5723028,56,4,married,rented,no,Surgeon,Bettiah[33],Bihar,4,14,0
124680,976533,48,2,single,rented,no,Statistician,Bardhaman,West_Bengal,2,10,1
28988,718057,59,19,single,rented,no,Financial_Analyst,Guwahati,Assam,4,11,0
72774,9750930,31,3,single,rented,yes,Comedian,Gorakhpur,Uttar_Pradesh,3,10,1
222958,3073843,25,4,married,rented,yes,Civil_servant,Suryapet,Telangana,3,12,0
120306,3693963,41,19,single,rented,yes,Army_officer,Pudukkottai,Tamil_Nadu,3,11,0
167039,3201383,51,10,single,rented,no,Hotel_Manager,Rourkela,Odisha,7,13,0
218724,3661053,76,0,single,rented,yes,Civil_engineer,Bokaro,Jharkhand,0,12,1
14422,6475126,48,14,single,rented,no,Army_officer,Bidhannagar,West_Bengal,11,12,1
173446,3470076,44,15,single,rented,no,Magistrate,Gaya,Bihar,11,12,1
126526,4195860,46,8,single,rented,no,Hotel_Manager,Mira-Bhayandar,Maharashtra,5,11,0
77061,2946448,63,0,single,rented,no,Dentist,Munger,Bihar,0,13,1
86012,6654390,67,15,single,rented,yes,Geologist,Bhalswa_Jahangir_Pur,Delhi,4,13,1
197295,2003507,61,5,single,rented,no,Dentist,Faridabad,Haryana,3,10,0
605,4370986,31,9,single,rented,no,Engineer,Mumbai,Maharashtra,4,12,0
172663,8400495,54,15,single,rented,no,Official,Khandwa,Madhya_Pradesh,3,11,0
181177,6472266,21,2,single,rented,yes,Mechanical_engineer,Hospet,Karnataka,2,11,1
76275,1990293,54,15,single,rented,no,Web_designer,Nagpur,Maharashtra,4,10,0
9042,1591827,21,13,single,norent_noown,no,Web_designer,Karawal_Nagar,Delhi,4,12,0
178550,7914034,23,2,single,rented,no,Chef,Gulbarga,Karnataka,2,10,1
86301,2299667,24,10,single,rented,no,Army_officer,Allahabad,Uttar_Pradesh[5],10,13,0
34808,2974289,22,3,single,rented,no,Civil_servant,Raebareli,Uttar_Pradesh,3,13,1
76906,3315306,66,14,single,rented,yes,Police_officer,Chinsurah,West_Bengal,3,11,0
80898,5715173,46,11,single,rented,yes,Statistician,Jodhpur,Rajasthan,11,14,0
114882,536306,79,5,single,rented,no,Industrial_Engineer,Begusarai,Bihar,5,11,0
102864,4718273,25,10,single,rented,no,Lawyer,Baranagar,West_Bengal,8,10,0
9195,6103090,62,2,single,rented,yes,Chartered_Accountant,Hosur,Tamil_Nadu,2,13,0
161163,4128007,74,11,single,rented,no,Surveyor,Madanapalle,Andhra_Pradesh,11,12,0
44375,9187149,79,1,single,rented,yes,Chartered_Accountant,Nagaon,Assam,1,13,1
1635,4499377,48,11,single,rented,no,Software_Developer,Gaya,Bihar,11,12,1
160863,192829,66,11,single,rented,no,Flight_attendant,Sonipat,Haryana,11,14,0
33815,3338595,23,15,single,rented,no,Civil_engineer,Tezpur,Assam,4,10,1
222491,4639924,48,12,single,rented,yes,Artist,Kottayam,Kerala,6,14,1
19107,3424035,24,2,single,rented,no,Statistician,Malda,West_Bengal,2,14,1
112983,4665785,71,13,single,rented,no,Architect,Chapra,Bihar,3,12,1
85570,7475292,33,3,single,rented,no,Designer,Mango,Jharkhand,3,10,1
155976,7555360,57,4,single,rented,no,Computer_hardware_engineer,Sambhal,Uttar_Pradesh,4,10,0
182938,1364478,33,2,single,rented,no,Official,Akola,Maharashtra,2,11,1
197036,3115639,35,14,single,rented,yes,Technician,Guna,Madhya_Pradesh,14,10,1
121744,7046794,23,7,married,rented,no,Designer,Mehsana,Gujarat,6,13,0
183759,3902265,26,5,single,rented,no,Computer_hardware_engineer,Korba,Chhattisgarh,3,14,0
61420,4949034,22,16,single,rented,yes,Physician,Eluru[25],Andhra_Pradesh,14,12,0
2249,2147176,45,5,single,owned,no,Lawyer,New_Delhi,Delhi,5,14,1
244841,2221125,56,6,single,owned,yes,Computer_operator,Ghaziabad,Uttar_Pradesh,5,12,1
228233,1185048,54,13,single,rented,yes,Technology_specialist,Madhyamgram,West_Bengal,11,14,0
166700,3448997,53,3,single,rented,no,Drafter,Silchar,Assam,3,12,0
17246,9270608,79,14,single,rented,no,Analyst,Kamarhati,West_Bengal,4,12,1
514,1604428,66,20,single,rented,no,Physician,Sambalpur,Odisha,12,14,1
50883,265272,75,20,single,rented,no,Mechanical_engineer,Delhi_city,Delhi,6,14,1
144819,6877905,40,9,single,rented,yes,Lawyer,Bulandshahr,Uttar_Pradesh,7,11,1
69315,1369359,22,19,single,norent_noown,yes,Politician,Malda,West_Bengal,9,12,1
80946,2302129,25,0,single,owned,no,Analyst,Junagadh,Gujarat,0,13,0
198101,4390992,66,9,single,rented,no,Comedian,Nangloi_Jat,Delhi,9,14,1
29123,4445518,34,16,married,owned,no,Surveyor,Kurnool[18],Andhra_Pradesh,8,12,0
33424,7246361,55,19,single,rented,yes,Flight_attendant,Pimpri-Chinchwad,Maharashtra,3,10,0
78918,4990273,58,2,single,rented,no,Computer_hardware_engineer,Haldia,West_Bengal,2,14,1
153224,228131,30,5,single,rented,no,Technician,Kakinada,Andhra_Pradesh,5,12,0
64894,2015341,47,6,single,rented,no,Graphic_Designer,Panvel,Maharashtra,6,13,0
75142,3957826,78,13,single,rented,no,Economist,Jhansi,Uttar_Pradesh,11,11,1
89623,7864739,61,10,single,rented,no,Physician,Phusro,Jharkhand,5,11,1
143901,7974415,42,5,single,norent_noown,no,Petroleum_Engineer,Vellore,Tamil_Nadu,5,13,1
159716,5963291,41,13,single,rented,no,Aviator,Adoni,Andhra_Pradesh,5,10,0
2477,4432896,29,14,single,rented,no,Civil_engineer,Kavali,Andhra_Pradesh,13,14,1
215579,4609641,26,17,single,rented,no,Comedian,Satna,Madhya_Pradesh,9,10,1
210779,4853948,39,10,single,rented,no,Magistrate,Tirupati[21][22],Andhra_Pradesh,10,10,0
143662,3065180,59,5,single,rented,no,Comedian,Tiruvottiyur,Tamil_Nadu,5,11,0
148491,1612818,79,10,single,rented,no,Lawyer,Sonipat,Haryana,10,11,1
142929,1589605,46,13,single,rented,no,Architect,Ambala,Haryana,9,10,1
106223,8751622,34,17,single,rented,no,Aviator,Rourkela,Odisha,7,11,0
144138,972023,37,6,single,rented,yes,Designer,Yamunanagar,Haryana,5,11,1
67610,3370529,54,10,single,rented,yes,Aviator,Kozhikode,Kerala,10,12,1
75597,9157379,72,13,single,rented,yes,Design_Engineer,Ajmer,Rajasthan,9,10,0
175774,4330847,67,2,single,rented,no,Technician,Sambhal,Uttar_Pradesh,2,14,0
245466,4456128,72,11,single,rented,no,Comedian,Jhansi,Uttar_Pradesh,8,11,0
209901,9058726,61,20,married,rented,no,Industrial_Engineer,Deoghar,Jharkhand,11,14,0
167134,924200,69,2,single,rented,no,Industrial_Engineer,Karaikudi,Tamil_Nadu,2,10,0
223845,6152981,21,19,single,rented,yes,Magistrate,Tiruvottiyur,Tamil_Nadu,14,12,1
29573,7058393,68,11,single,rented,no,Industrial_Engineer,Panipat,Haryana,11,11,0
232120,1519807,72,19,single,rented,yes,Chemical_engineer,Udaipur,Rajasthan,4,11,0
7639,6284000,32,3,single,rented,no,Petroleum_Engineer,Kochi,Kerala,3,11,1
144308,8369027,47,6,single,rented,yes,Army_officer,Nagaon,Assam,6,11,0
151707,6201762,46,1,single,rented,no,Lawyer,Kochi,Kerala,1,10,1
145099,3632655,76,18,single,rented,no,Geologist,Ulhasnagar,Maharashtra,12,10,1
142116,2967027,54,11,single,rented,no,Dentist,Morena,Madhya_Pradesh,11,13,0
183935,1904060,72,8,single,rented,no,Computer_operator,Meerut,Uttar_Pradesh,8,14,0
56881,2143466,51,15,single,rented,yes,Design_Engineer,Baranagar,West_Bengal,6,13,0
136133,2397672,70,6,single,rented,no,Graphic_Designer,Thiruvananthapuram,Kerala,6,11,1
66003,4389360,42,20,single,rented,yes,Scientist,Jabalpur,Madhya_Pradesh,11,10,1
200313,2799879,44,0,single,rented,no,Microbiologist,Jabalpur,Madhya_Pradesh,0,11,0
81875,1223133,68,6,single,norent_noown,no,Chartered_Accountant,Kozhikode,Kerala,6,10,0
152821,1011117,22,11,single,rented,no,Magistrate,Dindigul,Tamil_Nadu,8,14,0
134026,8997854,36,16,single,rented,no,Chef,Udupi,Karnataka,5,10,0
71917,1932556,56,15,single,rented,no,Mechanical_engineer,Narasaraopet,Andhra_Pradesh,4,13,1
1626,9464294,42,9,single,rented,no,Computer_hardware_engineer,Rewa,Madhya_Pradesh,5,10,1
111562,7298829,59,16,single,rented,no,Politician,Bharatpur,Rajasthan,3,13,0
145283,1303701,34,20,single,rented,no,Psychologist,Firozabad,Uttar_Pradesh,3,13,1
68942,8752516,33,2,married,owned,no,Architect,Thanjavur,Tamil_Nadu,2,10,0
85969,3957826,78,13,single,rented,no,Economist,Jhansi,Uttar_Pradesh,11,11,1
144777,3208112,31,15,single,rented,no,Hotel_Manager,Indore,Madhya_Pradesh,11,11,0
111386,1290647,39,1,single,rented,yes,Computer_operator,Tinsukia,Assam,1,13,1
33810,2282442,47,4,single,rented,yes,Petroleum_Engineer,Raipur,Chhattisgarh,4,13,1
86620,6305461,41,11,single,rented,yes,Air_traffic_controller,Mirzapur,Uttar_Pradesh,7,14,1
137800,2740967,63,5,single,rented,no,Civil_servant,Nagaon,Assam,5,13,1
15892,9704512,78,15,single,rented,no,Artist,Panipat,Haryana,11,14,1
57914,1362373,21,0,single,rented,no,Surgeon,Ratlam,Madhya_Pradesh,0,10,1
203883,4899333,30,16,single,rented,yes,Chef,Hapur,Uttar_Pradesh,5,14,0
89824,7695399,49,6,single,rented,yes,Computer_hardware_engineer,Deoghar,Jharkhand,6,11,1
136639,8450190,26,6,single,rented,no,Comedian,Sri_Ganganagar,Rajasthan,6,10,1
64488,4144248,49,19,single,rented,no,Chef,Saharsa[29],Bihar,4,13,0
224883,8482225,22,13,single,rented,no,Psychologist,New_Delhi,Delhi,9,12,1
183110,7827983,59,18,single,rented,no,Biomedical_Engineer,Sonipat,Haryana,12,12,1
227027,6396398,61,20,single,rented,no,Consultant,Patna,Bihar,11,12,1
235198,5155046,27,2,single,owned,no,Physician,Firozabad,Uttar_Pradesh,2,10,1
51922,4558531,41,18,single,rented,yes,Consultant,Kollam,Kerala,6,14,0
37199,2803526,29,20,single,rented,no,Secretary,Bathinda,Punjab,14,12,0
18714,3264559,29,14,married,rented,no,Statistician,Bidhannagar,West_Bengal,4,10,1
234324,2609277,48,5,single,rented,no,Aviator,Bijapur,Karnataka,5,12,1
12025,1923707,40,16,single,rented,no,Design_Engineer,Bellary,Karnataka,4,12,1
85942,5379845,31,5,married,rented,no,Police_officer,Narasaraopet,Andhra_Pradesh,5,12,1
138125,5073397,41,9,single,rented,no,Computer_hardware_engineer,Bhind,Madhya_Pradesh,4,12,1
142912,5112412,69,9,single,rented,yes,Economist,Raichur,Karnataka,9,12,0
17476,7374419,43,13,single,rented,yes,Chef,Allahabad,Uttar_Pradesh[5],9,13,0
114674,2607516,76,5,single,rented,yes,Analyst,Nanded,Maharashtra,5,11,0
199361,64404,45,18,married,rented,no,Civil_engineer,Machilipatnam,Andhra_Pradesh,3,14,0
67421,6588127,76,5,single,rented,no,Technician,Bhiwani,Haryana,5,10,1
208000,601404,47,20,single,rented,no,Petroleum_Engineer,Navi_Mumbai,Maharashtra,8,10,1
145407,8808852,56,16,single,rented,no,Web_designer,Jhansi,Uttar_Pradesh,3,14,1
203033,4812262,62,3,single,owned,no,Lawyer,Karimnagar,Telangana,3,13,0
140270,7440752,70,10,single,rented,no,Web_designer,Patna,Bihar,10,11,1
61222,8654497,79,4,single,rented,no,Financial_Analyst,Bathinda,Punjab,4,13,0
59061,9704512,78,15,single,rented,no,Artist,Panipat,Haryana,11,14,0
195285,5221691,42,17,single,rented,no,Police_officer,Ranchi,Jharkhand,4,14,0
57642,3267322,37,9,single,rented,yes,Statistician,Gurgaon,Haryana,9,10,0
195369,1779389,41,7,single,rented,no,Dentist,Davanagere,Karnataka,7,14,0
9763,9292764,47,0,single,owned,no,Surgeon,Jhansi,Uttar_Pradesh,0,12,0
29267,9974540,54,6,single,rented,yes,Architect,Danapur,Bihar,6,13,0
33315,5245448,25,8,single,rented,yes,Technology_specialist,Dindigul,Tamil_Nadu,7,14,0
53200,6810041,76,3,single,rented,no,Firefighter,Jaunpur,Uttar_Pradesh,3,14,0
162000,8753042,74,12,married,rented,no,Computer_operator,Bhiwandi,Maharashtra,9,12,0
175878,9760129,44,12,single,norent_noown,no,Chemical_engineer,Allahabad,Uttar_Pradesh[5],11,10,1
186979,8075181,21,12,single,rented,no,Chartered_Accountant,Ongole,Andhra_Pradesh,7,14,1
108876,4655230,50,4,single,rented,yes,Biomedical_Engineer,Panihati,West_Bengal,4,10,0
177439,1956633,23,13,single,rented,no,Psychologist,Gandhidham,Gujarat,13,12,1
138245,3727264,30,15,single,owned,no,Civil_engineer,Kirari_Suleman_Nagar,Delhi,10,10,0
237811,6700962,52,9,single,rented,no,Microbiologist,Raiganj,West_Bengal,9,10,0
15032,3625101,28,5,single,rented,no,Comedian,Gopalpur,West_Bengal,5,10,1
226641,160313,75,2,single,rented,no,Petroleum_Engineer,Dehri[30],Bihar,2,14,0
162312,2562525,54,8,single,rented,yes,Software_Developer,Loni,Uttar_Pradesh,8,11,0
184913,347594,48,11,single,rented,no,Magistrate,Deoghar,Jharkhand,11,11,0
2678,3701293,62,20,single,rented,no,Physician,Tumkur,Karnataka,3,11,0
71241,9083499,77,19,single,rented,no,Psychologist,Ulhasnagar,Maharashtra,13,10,1
90858,9368198,79,17,single,rented,yes,Technician,Visakhapatnam[4],Andhra_Pradesh,11,11,1
109228,8367421,59,3,single,rented,no,Air_traffic_controller,Dhanbad,Jharkhand,3,11,0
179738,255794,36,13,single,rented,no,Industrial_Engineer,Indore,Madhya_Pradesh,6,11,0
96670,9030468,26,14,single,rented,no,Physician,Bhind,Madhya_Pradesh,6,13,0
64361,4217767,28,4,single,rented,yes,Statistician,Udaipur,Rajasthan,4,13,0
37580,2699320,27,1,single,rented,no,Police_officer,Mangalore,Karnataka,1,10,1
29996,1999332,56,1,single,rented,no,Graphic_Designer,Bulandshahr,Uttar_Pradesh,1,10,0
38639,9455042,33,20,single,rented,no,Politician,Bokaro,Jharkhand,10,12,1
240240,7265214,30,9,married,rented,yes,Biomedical_Engineer,Salem,Tamil_Nadu,6,11,1
213004,7319293,40,6,single,rented,no,Designer,Phagwara,Punjab,4,14,0
196637,3685028,32,13,single,rented,no,Official,Madhyamgram,West_Bengal,6,11,1
138384,7248241,63,12,single,rented,no,Army_officer,Bhubaneswar,Odisha,4,14,1
77779,1816526,30,13,single,rented,yes,Civil_engineer,Jorhat,Assam,12,11,0
32424,5522159,22,6,single,rented,no,Computer_hardware_engineer,Anantapur,Andhra_Pradesh,6,12,1
59905,6120219,25,8,single,rented,no,Software_Developer,Hajipur[31],Bihar,3,13,1
245986,9904160,26,9,single,rented,no,Librarian,Sri_Ganganagar,Rajasthan,9,13,1
250618,9248155,22,9,married,rented,yes,Librarian,Gandhinagar,Gujarat,3,14,0
83172,1816526,30,13,single,rented,yes,Civil_engineer,Jorhat,Assam,12,11,1
203001,7134787,63,15,single,rented,no,Web_designer,Sambalpur,Odisha,12,12,0
104330,9655703,61,6,married,rented,yes,Financial_Analyst,Agartala,Tripura,6,11,0
138209,582273,64,14,single,rented,no,Dentist,Karnal,Haryana,3,13,0
91386,7552857,35,15,single,rented,no,Chartered_Accountant,Parbhani,Maharashtra,7,10,0
195865,6851394,48,16,single,rented,no,Design_Engineer,Phagwara,Punjab,10,14,0
59790,630441,37,4,single,rented,no,Secretary,Ranchi,Jharkhand,4,11,0
9017,8354694,78,0,single,rented,no,Biomedical_Engineer,Madurai,Tamil_Nadu,0,10,0
224138,6814932,70,11,single,rented,no,Official,Dharmavaram,Andhra_Pradesh,8,13,1
185426,2415720,79,20,single,rented,no,Graphic_Designer,Ghaziabad,Uttar_Pradesh,6,12,0
147070,1591082,66,3,single,rented,no,Police_officer,Nandyal,Andhra_Pradesh,3,11,1
2210,2586645,50,6,single,rented,no,Technical_writer,Gurgaon,Haryana,6,10,0
221055,4292009,42,19,married,rented,no,Microbiologist,Tadipatri,Andhra_Pradesh,10,14,0
248887,658551,68,17,single,rented,no,Graphic_Designer,South_Dumdum,West_Bengal,14,14,0
156316,3524413,77,5,single,rented,no,Artist,Giridih,Jharkhand,5,11,0
244167,5529498,53,5,single,rented,no,Dentist,Bellary,Karnataka,5,10,1
185656,9846959,34,1,single,rented,no,Designer,Ahmednagar,Maharashtra,1,10,0
71425,5072054,56,5,single,rented,no,Statistician,Kumbakonam,Tamil_Nadu,5,14,1
155644,8364348,70,8,single,norent_noown,no,Web_designer,Bhusawal,Maharashtra,5,13,0
428,2259654,42,2,single,rented,no,Mechanical_engineer,Davanagere,Karnataka,2,10,1
129061,5917275,53,19,single,rented,no,Scientist,Kolhapur,Maharashtra,7,12,0
205578,6121261,23,15,single,rented,no,Civil_servant,Thane,Maharashtra,5,14,0
177491,5510241,78,14,single,rented,yes,Psychologist,Patiala,Punjab,11,11,0
67329,1050149,33,5,single,rented,no,Chef,Kakinada,Andhra_Pradesh,5,13,0
27478,4145727,27,11,single,rented,no,Fashion_Designer,Panvel,Maharashtra,6,12,1
205772,6120219,25,8,single,rented,no,Software_Developer,Hajipur[31],Bihar,3,13,1
17747,8886565,68,14,single,rented,no,Industrial_Engineer,Dhule,Maharashtra,5,14,0
